review_stars,reveiw_buy_site,review_name,review_date,review_title,review_text
평점5,담은 Damun,yeri****,23.05.10.,대구에는 파는 곳이 없어서 주문했는데 너무 맛있어요ㅠㅠ 서울에서 먹은 뒤로 생각이나서 주문했는데 다음에 또 주문하겠습니다!,대구에는 파는 곳이 없어서 주문했는데 너무 맛있어요ㅠㅠ 서울에서 먹은 뒤로 생각이나서 주문했는데 다음에 또 주문하겠습니다!
평점5,담은 Damun,zhye****,23.05.09.,부드럽고 진하고달달해서 막걸리 좋아하는 분들 꼭 드셔보세용,"부드럽고 진하고
달달해서 막걸리 좋아하는 분들 꼭 드셔보세용"
평점5,담은 Damun,gmdd****,23.05.09.,재구매의사있습니다.부드러운맛을 잊을수 없어요.,재구매의사있습니다.부드러운맛을 잊을수 없어요.
평점5,담은 Damun,trac****,23.05.09.,맛있어요 우유같은 맛이예요,맛있어요 우유같은 맛이예요
평점5,담은 Damun,tkfk****,23.05.08.,부드러운 느낌이어서 목넘김은 좋았어요,부드러운 느낌이어서 목넘김은 좋았어요
평점5,담은 Damun,lhar****,23.05.08.,부드럽고 맛있어요 만족해요!,부드럽고 맛있어요 만족해요!
평점5,담은 Damun,gior****,23.05.08.,탄산적고 딱 원하던맛이예요,탄산적고 딱 원하던맛이예요
평점3,담은 Damun,fend****,23.05.08.,아주좋아요 만족해요,아주좋아요 만족해요
평점5,담은 Damun,vich****,23.05.08.,막걸리중 탑입니다,막걸리중 탑입니다
평점5,담은 Damun,riti****,23.05.07.,우유같은 부드러운맛이 좋아요♡,우유같은 부드러운맛이 좋아요♡
평점3,담은 Damun,red6****,23.05.06.,생각보다 너무 맛이 없었어요,생각보다 너무 맛이 없었어요
평점4,담은 Damun,qopi****,23.05.05.,밀키하고 몽글몽글한 느낌이 기분좋네요. 곡주의 향을 많이가지고 있는데 굉장히 취저입니다. 가격이 사악해서 별4개입니다 ㅠ,밀키하고 몽글몽글한 느낌이 기분좋네요. 곡주의 향을 많이가지고 있는데 굉장히 취저입니다. 가격이 사악해서 별4개입니다 ㅠ
평점5,담은 Damun,skql****,23.05.03.,탄산없는 부드러운 막걸리에요. 단맛도 막강하지않아서 매운요리랑도 그냥음식들이랑도 잘어울릴것같네요:) 잘먹을께요,탄산없는 부드러운 막걸리에요. 단맛도 막강하지않아서 매운요리랑도 그냥음식들이랑도 잘어울릴것같네요:) 잘먹을께요
평점5,담은 Damun,hong****,23.05.03.,상품 잘 전달받았습니다. 맛이 기대됩니다.,상품 잘 전달받았습니다. 맛이 기대됩니다.
평점5,담은 Damun,mirr****,23.05.02.,우유처럼 뽀얗고 부드러운데 생각보다 산미는 더 느껴졌어요 ㅎㅎ 재구매해서 먹을 예정이에요,우유처럼 뽀얗고 부드러운데 생각보다 산미는 더 느껴졌어요 ㅎㅎ 재구매해서 먹을 예정이에요
평점5,담은 Damun,yera****,23.05.02.,부드럽고 묵직하고 너무 좋습니다. 항상 잘 먹고 있어요.,부드럽고 묵직하고 너무 좋습니다. 항상 잘 먹고 있어요.
평점5,담은 Damun,yuri****,23.05.02.,정말 부드럽고 술술 넘어가네요. 색감도 엄청 고와요.,정말 부드럽고 술술 넘어가네요. 색감도 엄청 고와요.
평점5,담은 Damun,weil****,23.05.02.,진하고 깔끔한 맛이 일품!!!^^,진하고 깔끔한 맛이 일품!!!^^
평점5,담은 Damun,baco****,23.05.02.,최고의 막걸리에여 츄천,최고의 막걸리에여 츄천
평점5,담은 Damun,wbel****,23.05.02.,잘받았습니다 감사합니다 수고하세요,잘받았습니다 감사합니다 수고하세요
평점5,담은 Damun,dsmc****,23.05.01.,벌써 몇번 째 주문인지 까먹었어요 맛나요,벌써 몇번 째 주문인지 까먹었어요 맛나요
평점5,담은 Damun,jkna****,23.05.01.,빨리 배송되었습니다. 맛도 좋네요.,빨리 배송되었습니다. 맛도 좋네요.
평점5,담은 Damun,umma****,23.05.01.,역시 소문대로 맛있습니다..,역시 소문대로 맛있습니다..
평점5,담은 Damun,hong****,23.05.01.,빠른배송좋은맛!!!!,"빠른배송
좋은맛!!!!"
평점5,담은 Damun,jo_o****,23.04.30.,역시 맛있네요 물 좋고 공기 좋은데서 나와서 그런지 깊이가 있는 맛이에요!!,역시 맛있네요 물 좋고 공기 좋은데서 나와서 그런지 깊이가 있는 맛이에요!!
평점5,담은 Damun,sudd****,23.04.30.,생막걸리 처음 찾아사봤는데 맛있어요!,생막걸리 처음 찾아사봤는데 맛있어요!
평점5,담은 Damun,ohh1****,23.04.30.,맛있게 잘 먹었네요 ㅎㅎ,맛있게 잘 먹었네요 ㅎㅎ
평점5,담은 Damun,skyb****,23.04.29.,최고의 맛. 평생 하나의 술만 먹는다면 담은 막걸리,"최고의 맛. 평생 하나의 술만 먹는다면
담은 막걸리"
평점5,담은 Damun,skyb****,23.04.29.,완전 최고 환상적인 맛,완전 최고 환상적인 맛
평점5,담은 Damun,too7****,23.04.29.,구름같은 좋은맛이쥬,구름같은 좋은맛이쥬
평점5,담은 Damun,chs1****,23.04.29.,하나하나 맛보는 중입니당~~,하나하나 맛보는 중입니당~~
평점5,담은 Damun,dudr****,23.04.28.,톡쏘지않고 부드러움처음에 임팩트가 크진않으나 마시다보면 계속마시게됨첫잔부터 막잔까지 거부감없다는게 가장 큰 장점인듯다음날 똥도잘나옴,"톡쏘지않고 부드러움
처음에 임팩트가 크진않으나 마시다보면 계속마시게됨
첫잔부터 막잔까지 거부감없다는게 가장 큰 장점인듯
다음날 똥도잘나옴"
평점5,담은 Damun,jiya****,23.04.28.,탄산이 없어서 엄청 부드러워요!!!,탄산이 없어서 엄청 부드러워요!!!
평점5,담은 Damun,geug****,23.04.27.,부드럽고 너무 맛나요 컵에 따라보니 완전 우유 같아요,부드럽고 너무 맛나요 컵에 따라보니 완전 우유 같아요
평점5,담은 Damun,hear****,23.04.26.,진짜 보들보들한 맛이네요. 일동막걸리 특유의 향도 있고 탄산이 없어서 먹기 좋았어요~ 맛있어서 주변에도 소문내고 선물하고 있답니다,진짜 보들보들한 맛이네요. 일동막걸리 특유의 향도 있고 탄산이 없어서 먹기 좋았어요~ 맛있어서 주변에도 소문내고 선물하고 있답니다
평점5,담은 Damun,newg****,23.04.26.,부드러우면서 말끔한 맛가볍지도 않고 너무 무겁지도 않아 너무 좋았습니다.,"부드러우면서 말끔한 맛
가볍지도 않고 너무 무겁지도 않아 너무 좋았습니다."
평점5,담은 Damun,hosu****,23.04.26.,맛있습니다. 꼼꼼한 포장도 감사합니다.,맛있습니다. 꼼꼼한 포장도 감사합니다.
